名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み
篠宮ゆの,#AAD9F4,#AAD9F4,#AAD9F4,#F8F482,#F8F482,#FFFFFF,#FFFFFF,「行こう！」,FALSE,篠宮ゆの しのみや ゆの shinomiya yuno ゆのたそ,
城瀬いすみ,#E5E2F6,#E5E2F6,#E5E2F6,#F7CFEA,#F7CFEA,#FFFFFF,#FFFFFF,「行こう！」,FALSE,城瀬いすみ しろせ いすみ いすみゃ みゃ shirose isumi,
花籠つばさ,#818FBF,#818FBF,#818FBF,#A3DADE,#A3DADE,#FFFFFF,#FFFFFF,「行こう！」,FALSE,花籠つばさ はなかご つばさ hanakago tsubasa ごつば,
白砂あやね,#54A2E5,#54A2E5,#54A2E5,#A2E4C7,#A2E4C7,#FFFFFF,#FFFFFF,「行こう！」,FALSE,白砂あやね しらさ あやね shirasa ayane しらす しらす丼 やーね,
水面まどか,#FF8184,#FF8184,#FF8184,#FEBF96,#FEBF96,#FFFFFF,#FFFFFF,「行こう！」,FALSE,水面まどか みなも まどか minamo madoka まどちゃ,
男虎,#442657,#442657,#442657,,,,#FFFFFF,「行こう！」,,,
九里詠太,#CC8F7A,#CC8F7A,#CC8F7A,,,,#FFFFFF,「行こう！」,,,
小々波いるか,#4270B2,#4270B2,#4270B2,#8FBAE8,#8FBAE8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,小々波いるか いるか ここなみ kokonami iruka,
千凛あゆむ,#543298,#543298,#543298,,,,#FFFFFF,「行こう！」,,,
塚原大地,#4A4A5C,#4A4A5C,#4A4A5C,#A44545,#A44545,#FFFFFF,#FFFFFF,「行こう！」,FALSE,塚原大地 大地 つかはら だいち tsukahara daichi 揚げ鶏,
御子神琴音,#D0669A,#D0669A,#D0669A,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Rei7,#4BB3CE,#4BB3CE,#4BB3CE,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
レヨン,#558E8D,#558E8D,#558E8D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,レヨン れよん rayon お野菜,
Elira Pendora,#95C8D8,#95C8D8,#95C8D8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Pomu Rainpuff,#258E70,#258E70,#258E70,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Finana Ryugu,#35D9AD,#35D9AD,#35D9AD,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Rosemi Lovelock,#DC3753,#DC3753,#DC3753,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Petra Gurin,#FFAE42,#FFAE42,#FFAE42,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Enna Alouette,#858ED1,#858ED1,#858ED1,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Nina Kosaka,#660000,#660000,#660000,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Reimu Endou,#B90B4A,#B90B4A,#B90B4A,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Millie Parfait,#FEBC87,#FEBC87,#FEBC87,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Ike Eveland,#348EC7,#348EC7,#348EC7,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Mysta Rias,#C3552B,#C3552B,#C3552B,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Vox Akuma,#960018,#960018,#960018,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Luca Kaneshiro,#D4AF37,#D4AF37,#D4AF37,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Shu Yamino,#A660A7,#A660A7,#A660A7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Alban Knox,#FF5F00,#FF5F00,#FF5F00,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Yugo Asuma,#1F51FF,#1F51FF,#1F51FF,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Fulgur Ovid,#FF0000,#FF0000,#FF0000,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Sonny Brisko,#FFF321,#FFF321,#FFF321,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Uki Violeta,#B600FF,#B600FF,#B600FF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Kyo Kaneko,#00AFCC,#00AFCC,#00AFCC,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Maria Marionette,#E55A9B,#E55A9B,#E55A9B,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Aster Arcadia,#6662A4,#6662A4,#6662A4,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Aia Amare,#FFFEF7,#FFFEF7,#FFFEF7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Ren Zotto,#429B76,#429B76,#429B76,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Scarle Yonaguni,#E60012,#E60012,#E60012,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Doppio Dropscythe,#A50082,#A50082,#A50082,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Hex Haywire,#007199,#007199,#007199,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Meloco Kyoran,#A09BD8,#A09BD8,#A09BD8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Ver Vermillion,#D5345E,#D5345E,#D5345E,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Kotoka Torahime,#DC6B9A,#DC6B9A,#DC6B9A,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Yu Q. Wilson,#F5EB28,#F5EB28,#F5EB28,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Vantacrow Bringer,#8728E1,#8728E1,#8728E1,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Vezalius Bandage,#C34196,#C34196,#C34196,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Claude Clawmark,#7D3CAF,#7D3CAF,#7D3CAF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Victoria Brightshield,#D7D2EB,#D7D2EB,#D7D2EB,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Kunai Nakasato,#3C6E64,#3C6E64,#3C6E64,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
Ryoma Barrenwort,#952D22,#952D22,#952D22,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Klara Charmwood,#DFCDBF,#DFCDBF,#DFCDBF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Zeal Ginjoka,#007328,#007328,#007328,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Freodore,#AA0037,#AA0037,#AA0037,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Seible,#0A44AA,#0A44AA,#0A44AA,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
Kaelix Debonair,#CDCD00,#CDCD00,#CDCD00,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
