曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,振付リンク3,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
Only,https://youtu.be/nU07wXY1KIE?si=wBYauZxh_7X-dXE6,,https://youtu.be/QZAQxe2afSM?si=4RIuaHayRj9-5s3W,FALSE,,,2020/03/18,,樋口楓,,,女性ソロ,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Aimless Story,https://youtu.be/VwXD9ywgnv4?si=EO4xvaWgMSB_OYCs,,https://youtu.be/l4bkzqWBAPM?si=FFEDl5FfJT85YgYD,FALSE,,,2020/03/18,,静凛,,,女性ソロ,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
アンチグラビティ・ガール,https://youtu.be/L0X1fDI5PJA?si=46S7i6Bx7mE_6cHQ,https://youtu.be/L0X1fDI5PJA?si=46S7i6Bx7mE_6cHQ,,TRUE,,,2020/03/18,,月ノ美兎,,,女性ソロ,FALSE,FALSE,FALSE,FALSE,アルバム：SMASH The PAINT!!,,,,,,,,,,,TRUE,TRUE,https://linkco.re/TxuQX8Xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
【Cover】１＋１でQ.E.D.！！,https://youtu.be/OY6MF0Bo1J4?si=PuuzGzaBXDLTQqSY,https://youtu.be/OY6MF0Bo1J4?si=PuuzGzaBXDLTQqSY,,FALSE,,,2023/08/06,ぷてさら,星川サラ、ラトナ・プティ,,,女性ユニット,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Wonder NeverLand,https://youtu.be/txc0Vn2ub6Y?si=d9k8qP6k3Q2UUxgn,https://youtu.be/txc0Vn2ub6Y?si=d9k8qP6k3Q2UUxgn,,TRUE,,,2021/02/25,,月ノ美兎、シスター・クレア、花畑チャイカ、卯月コウ、町田ちま、リゼ・ヘルエスタ、鈴原るる、レヴィ・エリファ、健屋花那、不破湊、メリッサ・キンレンカ,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonder NeverLand,https://youtu.be/pGJW1zHCLb0?si=x3AzwnvV5anpuDmx,,,FALSE,,,2021/02/25,,卯月コウ、シスター・クレア、月ノ美兎、花畑チャイカ、町田ちま、レヴィ・エリファ,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonder NeverLand,https://youtu.be/EzlYDbpHkq8?si=hvhSHgCn2GIGOh4I,,,FALSE,,,2021/02/25,,ジョー・力一、健屋花那、鈴原るる、不破湊、メリッサ・キンレンカ、リゼ・ヘルエスタ,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虹色のPuddle,https://youtu.be/IyakMyUZBnw?si=9xIYEIOhuMtjreqn,https://youtu.be/IyakMyUZBnw?si=9xIYEIOhuMtjreqn,,TRUE,,,2021/02/25,,剣持刀也、笹木咲、樋口楓、葛葉、鷹宮リオン、緑仙、加賀美ハヤト、三枝明那、星川サラ、シェリン・バーガンディ、フレン・E・ルスタリオ、夜見れな,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虹色のPuddle,https://youtu.be/-4f4Iy9-ILM?si=u5D629F-OSFpcMB-,,,FALSE,,,2021/02/25,,剣持刀也、笹木咲、樋口楓,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虹色のPuddle,https://youtu.be/W8xhFIXFw5g?si=ZKVzXduqW5_HKgwy,,,FALSE,,,2021/02/25,,葛葉、鷹宮リオン、緑仙,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虹色のPuddle,https://youtu.be/bsrsfRrlfHU?si=E1qRtjS-3KTwZUVS,,,FALSE,,,2021/02/25,,加賀美ハヤト、三枝明那、星川サラ,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虹色のPuddle,https://youtu.be/aKnN2UEBjEE?si=k1pdTh8dF-b28psJ,,,FALSE,,,2021/02/25,,シェリン・バーガンディ、フレン・E・ルスタリオ、夜見れな,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/96907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike,https://youtu.be/qsu5VIXRC48?si=PTT7ITcr4r5M-wXx,,,TRUE,,,2021/05/28,,早瀬走、メリッサ・キンレンカ,,,女性ユニット,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike (Japanese Ver.) feat. 早瀬走,https://youtu.be/FU-1UOn6xXE?si=NLEfUCrBqdmjOR6U,,,FALSE,,,2021/06/04,,早瀬走,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike (Japanese Ver.) feat. メリッサ・キンレンカ,https://youtu.be/WPsn3TgScTk?si=LE-i14hIxMvHawmf,,,FALSE,,,2021/06/04,,メリッサ・キンレンカ,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike (English Ver.) feat. Finana Ryugu,https://youtu.be/Eul0k5gOibw?si=rNrTw6OaQ6xEZlW-,,,FALSE,,,2021/06/04,,Finana Ryugu,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike (Indonesian Ver.) feat. ZEA Cornelia,https://youtu.be/tFCy7NFPkKw?si=7XyTPtEUO1Qt86l_,,,FALSE,,,2021/06/04,,ゼア・コルネリア,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike (Korean Ver.) feat. Nun Bora,https://youtu.be/bWwLBtUnLHc?si=AKk15WQIoBhk4YK7,,,FALSE,,,2021/06/04,,ヌン・ボラ,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Strike (Chinese Ver.) feat. Shaun,https://youtu.be/34Tf8wVdCSY?si=m7qaYeCc8s2Vap0O,,,FALSE,,,2021/06/04,,勺（Shaun）,,,女性ソロ,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,https://nex-tone.link/A00087660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソワレ another rum ver.,https://youtu.be/cyIA0pY6IiA?si=wSTj7m-eD-Y_hHsn,,,FALSE,,,2024/02/28,,ジョー・力一,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,https://joe-rikiichi.lnk.to/carnivaleve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翻弄,https://youtu.be/oQi5aNrIjo8?si=M92jIJz9S2YFZLUs,https://youtu.be/oQi5aNrIjo8?si=M92jIJz9S2YFZLUs,,TRUE,,,2024/10/01,,ジョー・力一,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,TRUE,https://joe-rikiichi.lnk.to/honrouPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アジンガマサラ,https://youtu.be/K9y2rdShVM0?si=NIf051_CnJP_T3Sc,https://youtu.be/K9y2rdShVM0?si=NIf051_CnJP_T3Sc,,TRUE,,,2025/08/18,レヴィ・エリファ feat.RRR,レヴィ・エリファ、竜胆尊、鷹宮リオン、ジョー・力一,,,男女混合,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,https://youtube.com/shorts/h0b91CRv1bc?si=ucs4HW_7IJATPGxT,,,,,,,TRUE,https://linkco.re/Bq9n2r3q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,24,20,39,31,7,,47,22,,45,15,19,42,30,24,,,28,12,37,45,26,,,,,37,-5
